transaction_id;timestamp;account_id;destination_account;amount;currency;transaction_type;channel;terminal_id;merchant_id;card_number_masked;auth_method;response_code;status;processing_time_ms;switch_id;is_suspicious;fraud_pattern;customer_segment;account_age_days;failed_txn_ratio_7d;avg_time_between_txns;avg_txn_amount_7d;txn_count_24h;hour_of_day;day_of_week;is_holiday;previous_response_code;merchant_category;merchant_risk_score;geo_distance_last_tx;device_risk_level;device_country
RTX86103_000;21:43.8;A001310;A000229;47.27;PEN;Transferencia;APP;T0029;M0018;**** **** **** 9935;PIN;0;Aprobada;704;SW01;0;NULL;Regular;618;2.27;108.76;33.79;4;17;2;0;5;Travel;79.67;989.2;High;PE
RTX86103_001;21:43.8;A001035;A001233;49.54;PEN;Pago;WEB;T0054;M0029;**** **** **** 5557;PIN;0;Aprobada;877;SW02;0;NULL;Regular;784;5.5;82.79;51.97;6;17;2;0;91;Electronics;30.11;2946.86;High;MX
RTX86103_002;21:43.8;A000319;A000441;1436.25;PEN;Transferencia;AGT;T0012;M0049;**** **** **** 6881;OTP;0;Aprobada;718;SW01;0;NULL;Regular;541;4.93;27.15;1036.58;8;17;2;0;0;Food & Beverage;34.86;2584.78;Low;PE
RTX86103_003;21:43.8;A001993;A001889;574.02;PEN;Transferencia;WEB;T0047;M0074;**** **** **** 2139;PIN;0;Aprobada;777;SW01;0;NULL;Premium;714;2.07;16.55;484.87;2;17;2;0;5;Electronics;38.61;819.83;Medium;BR
RTX86103_004;21:43.8;A001775;A000207;576.39;PEN;Transferencia;ATM;T0021;M0048;**** **** **** 4432;Biometría;0;Aprobada;373;SW02;0;NULL;Básico;142;2.72;36.7;600.47;2;17;2;0;5;E-commerce;76.97;1615.41;High;US
RTX86103_005;21:43.8;A001094;A001494;374.77;PEN;Transferencia;PLN;T0035;M0082;**** **** **** 6313;PIN;0;Aprobada;334;SW01;0;NULL;Regular;564;8.96;9.87;413.19;7;17;2;0;91;Retail;3.96;4825.23;High;PE
RTX86103_006;21:43.8;A000136;A000433;1370.57;PEN;Transferencia;APP;T0084;M0064;**** **** **** 8517;PIN;0;Aprobada;371;SW02;0;NULL;Premium;259;6.69;21.52;1469.93;9;17;2;0;91;E-commerce;74.26;3225.5;High;BR
RTX86103_007;21:43.8;A001530;A001198;648.37;PEN;Transferencia;ATM;T0029;M0018;**** **** **** 2489;PIN;0;Aprobada;212;SW02;0;NULL;Regular;1163;6.83;31.62;505.72;7;17;2;0;0;Travel;79.67;989.2;High;PE
RTX86103_008;21:43.8;A000789;A000782;897.87;PEN;Transferencia;WEB;T0033;M0071;**** **** **** 2876;Biometría;0;Aprobada;649;SW01;0;NULL;Básico;1232;2.51;0.78;973.56;6;17;2;0;0;Retail;4.54;828.65;Low;MX
RTX86103_009;21:43.8;A000602;A000891;245.66;PEN;Pago;ATM;T0065;M0098;**** **** **** 9317;PIN;0;Aprobada;740;SW01;0;NULL;Regular;978;3.17;73.78;250.44;10;17;2;0;5;Food & Beverage;41.28;3592.88;High;MX
